round154 result: own hp -350 vs opp hp -285, you lose, hp_diff: -65, avg_loss: 0.7650, Total reward: -6.749999999999998
round155 result: own hp -561 vs opp hp -400, you lose, hp_diff: -161, avg_loss: 0.7879, Total reward: -15.069999999999997
round156 result: own hp -529 vs opp hp -212, you lose, hp_diff: -317, avg_loss: 0.8063, Total reward: -32.199999999999946
round157 result: own hp -363 vs opp hp -227, you lose, hp_diff: -136, avg_loss: 0.8300, Total reward: -13.090000000000025
round158 result: own hp -442 vs opp hp -279, you lose, hp_diff: -163, avg_loss: 0.8453, Total reward: -16.379999999999995
round159 result: own hp -761 vs opp hp -226, you lose, hp_diff: -535, avg_loss: 0.7871, Total reward: -53.81
round160 result: own hp -393 vs opp hp -233, you lose, hp_diff: -160, avg_loss: 0.9163, Total reward: -14.920000000000007
round161 result: own hp -703 vs opp hp -279, you lose, hp_diff: -424, avg_loss: 0.9140, Total reward: -44.49000000000001
round162 result: own hp -753 vs opp hp -428, you lose, hp_diff: -325, avg_loss: 1.0045, Total reward: -32.70000000000002
round163 result: own hp -605 vs opp hp -497, you lose, hp_diff: -108, avg_loss: 0.8667, Total reward: -9.46
round164 result: own hp -610 vs opp hp -432, you lose, hp_diff: -178, avg_loss: 0.9006, Total reward: -18.84
round165 result: own hp -470 vs opp hp -354, you lose, hp_diff: -116, avg_loss: 0.9969, Total reward: -11.750000000000004
round166 result: own hp -701 vs opp hp -247, you lose, hp_diff: -454, avg_loss: 0.9328, Total reward: -33.58999999999996
round167 result: own hp -442 vs opp hp -374, you lose, hp_diff: -68, avg_loss: 0.9806, Total reward: -6.979999999999999
round168 result: own hp -737 vs opp hp -155, you lose, hp_diff: -582, avg_loss: 0.8989, Total reward: -56.32000000000002
round169 result: own hp -448 vs opp hp -418, you lose, hp_diff: -30, avg_loss: 0.9648, Total reward: -5.719999999999997
round170 result: own hp -441 vs opp hp -469, you win, hp_diff: 28, avg_loss: 0.8730, Total reward: 2.9199999999999977
round171 result: own hp -588 vs opp hp -429, you lose, hp_diff: -159, avg_loss: 0.8643, Total reward: -14.210000000000003
round172 result: own hp -490 vs opp hp -261, you lose, hp_diff: -229, avg_loss: 0.8790, Total reward: -23.149999999999995
round173 result: own hp -657 vs opp hp -358, you lose, hp_diff: -299, avg_loss: 0.8839, Total reward: -30.020000000000007
round174 result: own hp -427 vs opp hp -302, you lose, hp_diff: -125, avg_loss: 1.0005, Total reward: -12.740000000000002
round175 result: own hp -406 vs opp hp -229, you lose, hp_diff: -177, avg_loss: 1.0092, Total reward: -18.959999999999976
round176 result: own hp -635 vs opp hp -260, you lose, hp_diff: -375, avg_loss: 0.9653, Total reward: -37.860000000000035
round177 result: own hp -383 vs opp hp -192, you lose, hp_diff: -191, avg_loss: 0.8896, Total reward: -19.449999999999996
round178 result: own hp -435 vs opp hp -381, you lose, hp_diff: -54, avg_loss: 1.0181, Total reward: -5.749999999999998
round179 result: own hp -309 vs opp hp -359, you win, hp_diff: 50, avg_loss: 0.9522, Total reward: 4.859999999999998
round180 result: own hp -759 vs opp hp -373, you lose, hp_diff: -386, avg_loss: 0.9481, Total reward: -39.48000000000001
round181 result: own hp -814 vs opp hp -167, you lose, hp_diff: -647, avg_loss: 1.0340, Total reward: -62.63000000000004
round182 result: own hp -569 vs opp hp -405, you lose, hp_diff: -164, avg_loss: 0.8769, Total reward: -16.740000000000002
round183 result: own hp -478 vs opp hp -317, you lose, hp_diff: -161, avg_loss: 0.8975, Total reward: -16.400000000000016
round184 result: own hp -292 vs opp hp -329, you win, hp_diff: 37, avg_loss: 0.9011, Total reward: 2.669999999999994
round185 result: own hp -744 vs opp hp -393, you lose, hp_diff: -351, avg_loss: 0.9347, Total reward: -37.650000000000006
round186 result: own hp -493 vs opp hp -317, you lose, hp_diff: -176, avg_loss: 0.9661, Total reward: -17.450000000000014
round187 result: own hp -532 vs opp hp -400, you lose, hp_diff: -132, avg_loss: 0.8870, Total reward: -13.32000000000001
round188 result: own hp -431 vs opp hp -277, you lose, hp_diff: -154, avg_loss: 0.8456, Total reward: -15.319999999999999
