round177 result: own hp -631 vs opp hp -609, you lose, hp_diff: -22, avg_loss: 2.4517, Total reward: -1.9799999999999927
round178 result: own hp -684 vs opp hp -440, you lose, hp_diff: -244, avg_loss: 2.3870, Total reward: -12.789999999999997
round179 result: own hp -496 vs opp hp -293, you lose, hp_diff: -203, avg_loss: 1.1910, Total reward: -20.83999999999999
round180 result: own hp -700 vs opp hp -495, you lose, hp_diff: -205, avg_loss: 2.3531, Total reward: -21.089999999999996
round181 result: own hp -515 vs opp hp -490, you lose, hp_diff: -25, avg_loss: 1.6731, Total reward: -2.9099999999999957
round182 result: own hp -604 vs opp hp -375, you lose, hp_diff: -229, avg_loss: 1.2514, Total reward: -11.169999999999996
round183 result: own hp -497 vs opp hp -370, you lose, hp_diff: -127, avg_loss: 1.9388, Total reward: -12.550000000000008
round184 result: own hp -491 vs opp hp -260, you lose, hp_diff: -231, avg_loss: 1.1947, Total reward: -23.520000000000007
round185 result: own hp -590 vs opp hp -410, you lose, hp_diff: -180, avg_loss: 1.2797, Total reward: -16.080000000000005
round186 result: own hp -622 vs opp hp -465, you lose, hp_diff: -157, avg_loss: 2.3456, Total reward: -15.97
round187 result: own hp -699 vs opp hp -432, you lose, hp_diff: -267, avg_loss: 1.9267, Total reward: -26.929999999999993
round188 result: own hp -432 vs opp hp -566, you win, hp_diff: 134, avg_loss: 2.0047, Total reward: 12.840000000000007
round189 result: own hp -716 vs opp hp -528, you lose, hp_diff: -188, avg_loss: 3.6683, Total reward: -18.000000000000004
round190 result: own hp -592 vs opp hp -489, you lose, hp_diff: -103, avg_loss: 1.9718, Total reward: -9.789999999999992
round191 result: own hp -315 vs opp hp -192, you lose, hp_diff: -123, avg_loss: 0.4069, Total reward: -11.539999999999988
round192 result: own hp -589 vs opp hp -347, you lose, hp_diff: -242, avg_loss: 1.1898, Total reward: -26.880000000000017
round193 result: own hp -732 vs opp hp -365, you lose, hp_diff: -367, avg_loss: 1.4297, Total reward: -39.380000000000024
round194 result: own hp -838 vs opp hp -533, you lose, hp_diff: -305, avg_loss: 2.0992, Total reward: -33.53000000000001
round195 result: own hp -703 vs opp hp -405, you lose, hp_diff: -298, avg_loss: 1.9855, Total reward: -29.970000000000027
round196 result: own hp -652 vs opp hp -488, you lose, hp_diff: -164, avg_loss: 2.0673, Total reward: -14.450000000000012
round197 result: own hp -424 vs opp hp -379, you lose, hp_diff: -45, avg_loss: 0.7519, Total reward: -3.730000000000013
round198 result: own hp -640 vs opp hp -436, you lose, hp_diff: -204, avg_loss: 1.6969, Total reward: -21.750000000000036
round199 result: own hp -448 vs opp hp -288, you lose, hp_diff: -160, avg_loss: 0.9207, Total reward: -16.120000000000022
round200 result: own hp -723 vs opp hp -281, you lose, hp_diff: -442, avg_loss: 1.6416, Total reward: -45.560000000000024
round201 result: own hp -781 vs opp hp -319, you lose, hp_diff: -462, avg_loss: 2.0088, Total reward: -46.35
round202 result: own hp -459 vs opp hp -216, you lose, hp_diff: -243, avg_loss: 0.7238, Total reward: -24.460000000000026
