round278 result: own hp -747 vs opp hp -550, you lose, hp_diff: -197, Total reward: -20.21000000000003
round279 result: own hp -486 vs opp hp -163, you lose, hp_diff: -323, Total reward: -29.590000000000025
round280 result: own hp -452 vs opp hp -458, you win, hp_diff: 6, Total reward: -0.9099999999999895
round281 result: own hp -465 vs opp hp -290, you lose, hp_diff: -175, Total reward: -17.669999999999998
round282 result: own hp -442 vs opp hp -287, you lose, hp_diff: -155, Total reward: -15.780000000000026
round283 result: own hp -323 vs opp hp -165, you lose, hp_diff: -158, Total reward: -15.710000000000017
round284 result: own hp -615 vs opp hp -433, you lose, hp_diff: -182, Total reward: -18.62000000000003
round285 result: own hp -508 vs opp hp -210, you lose, hp_diff: -298, Total reward: -29.690000000000012
round286 result: own hp -452 vs opp hp -378, you lose, hp_diff: -74, Total reward: -7.160000000000023
round287 result: own hp -493 vs opp hp -232, you lose, hp_diff: -261, Total reward: -25.87999999999996
round288 result: own hp -360 vs opp hp -387, you win, hp_diff: 27, Total reward: 2.6499999999999995
round289 result: own hp -316 vs opp hp -368, you win, hp_diff: 52, Total reward: 6.240000000000001
round290 result: own hp -297 vs opp hp -110, you lose, hp_diff: -187, Total reward: -20.66999999999997
round291 result: own hp -461 vs opp hp -440, you lose, hp_diff: -21, Total reward: 9.340000000000014
round292 result: own hp -328 vs opp hp -370, you win, hp_diff: 42, Total reward: 1.5800000000000036
round293 result: own hp -557 vs opp hp -538, you lose, hp_diff: -19, Total reward: -4.380000000000001
round294 result: own hp -530 vs opp hp -376, you lose, hp_diff: -154, Total reward: -15.500000000000025
round295 result: own hp -509 vs opp hp -482, you lose, hp_diff: -27, Total reward: -5.210000000000001
round296 result: own hp -514 vs opp hp -467, you lose, hp_diff: -47, Total reward: -3.2399999999999993
round297 result: own hp -628 vs opp hp -273, you lose, hp_diff: -355, Total reward: -23.16000000000002
round298 result: own hp -407 vs opp hp -397, you lose, hp_diff: -10, Total reward: -1.149999999999999
round299 result: own hp -471 vs opp hp -400, you lose, hp_diff: -71, Total reward: -9.909999999999997
